Nivel,Pregunta,Opción A,Opción B,Opción C,Correcta
1,¿Qué país es el mayor exportador de vainilla en el mundo?,Madagascar,Indonesia,México,A
1,¿En qué océano se encuentra el punto más profundo conocido de la Tierra?,Atlántico,Pacífico,Índico,B
1,¿Cuál es el mineral principal del cual se extrae el uranio?,Uranita,Galena,Magnetita,A
1,¿Qué planeta del sistema solar tiene el día más largo en comparación con su año?,Venus,Mercurio,Júpiter,A
1,¿Qué artista es conocido por haber pintado 'El Jardín de las Delicias'?,El Bosco,Miguel Ángel,Rafael,A
1,¿Cuál es la especie de tiburón más antigua conocida?,Tiburón de Groenlandia,Megalodón,Tiburón peregrino,C
1,¿Qué especie de ave es conocida por poner el huevo más grande en relación a su tamaño corporal?,Kiwi,Colibrí,Avestruz,A
1,¿En qué país se originó la primera bolsa de valores formal del mundo?,Países Bajos,Reino Unido,Estados Unidos,A
1,¿Cuál es el nombre de la hormona responsable de la regulación del ciclo sueño-vigilia en los humanos?,Melatonina,Serotonina,Dopamina,A
1,¿Qué estructura celular es responsable de la producción de energía en las células eucariotas?,Mitocondria,Ribosoma,Aparato de Golgi,A
2,¿Qué compuesto químico se utiliza en la fabricación de microchips debido a sus propiedades semiconductoras?,Silicio,Germanio,Arsénico,A
2,¿Qué país tiene la mayor cantidad de especies endémicas de reptiles en el mundo?,Australia,Madagascar,Brasil,A
2,¿Cuál es la única especie de mamífero que tiene escamas?,Pangolín,Armadillo,Equidna,A
2,¿Cuál es el nombre del órgano que los tiburones utilizan para detectar campos eléctricos en el agua?,Ampollas de Lorenzini,Línea lateral,Sacos de Jacobson,A
2,¿Qué civilización antigua desarrolló un sistema de escritura llamado cuneiforme?,Sumerios,Egipcios,Fenicios,A
2,¿Qué material se utilizó para fabricar las primeras bolas de billar antes de que el plástico se hiciera común?,Marfil,Madera,Hueso,A
2,¿Cuál es el metal más raro en la corteza terrestre?,Rodio,Platino,Osmio,A
2,¿Qué enzima es responsable de la replicación del ADN en las células?,ADN polimerasa,ARN polimerasa,Ligasa,A
2,"¿Cuál es el instrumento más antiguo de la humanidad, basado en hallazgos arqueológicos?",Flauta,Tambor,Lira,A
2,"¿Qué país es conocido por tener el sistema ferroviario más largo y complejo del mundo, incluso más que el Transiberiano?",Estados Unidos,Rusia,China,A
3,¿Cuál no es una función del hipotálamo en el cuerpo humano?,Regular la temperatura corporal,Controlar el ritmo circadiano,Regular el pH sanguíneo,C
3,¿Cuál de estos elementos no es un gas noble?,Neón,Cloro,Argón,B
3,¿Qué no es un tipo de falla tectónica?,Falla normal,Falla transversal,Falla elíptica,C
3,¿Cuál no es un tipo de interacción fundamental en física?,Interacción fuerte,Interacción débil,Interacción gravitatoria inversa,C
3,¿Qué no es un componente del sistema inmunológico?,Linfocitos T,Neutrófilos,Colágeno,C
3,¿Cuál de estos no es un isótopo de hidrógeno?,Deuterio,Tritio,Curio,C
3,¿Qué no es una técnica de programación en inteligencia artificial?,Redes neuronales,Algoritmos genéticos,Criptografía,C
3,¿Qué no es un idioma oficial en la India?,Tamil,Bengali,Farsi,C
3,¿Cuál de estas constelaciones no es zodiacal?,Orión,Leo,Capricornio,A
3,¿Qué de las siguientes no es una partícula subatómica?,Proton,Gluon,Neutrón,C
1,¿Qué metal tiene el punto de fusión más bajo?,Mercurio,Plomo,Estaño,A
1,¿Qué río es conocido como el más largo del mundo?,Amazonas,Nilo,Yangtsé,B
1,¿Cuál es el mamífero terrestre más rápido?,Leopardo,Guepardo,Antílope,B
1,¿Qué país tiene la mayor producción de vino en el mundo?,Italia,Francia,España,A
1,¿Cuál es el elemento químico más abundante en la atmósfera terrestre?,Oxígeno,Nitrógeno,Argón,B
1,¿Qué montaña es la más alta del mundo desde su base hasta la cima?,Monte Everest,K2,Mauna Kea,C
1,¿En qué continente se encuentra el desierto del Sahara?,África,Asia,Australia,A
1,¿Qué organismo unicelular es conocido por su habilidad de sobrevivir en condiciones extremas?,Archaea,Bacteria,Ameba,A
1,¿Qué gas es el responsable del efecto invernadero en la atmósfera?,Dióxido de carbono,Oxígeno,Metano,A
1,¿Qué planeta es conocido como el 'planeta rojo'?,Marte,Júpiter,Saturno,A
2,¿Qué país es el mayor productor de café en el mundo?,Brasil,Vietnam,Colombia,A
2,¿Qué ácido es el principal componente del vinagre?,Ácido cítrico,Ácido acético,Ácido láctico,B
2,"¿Cuál es la capital del país más joven del mundo, Sudán del Sur?",Juba,Khartum,Kigali,A
2,¿Qué animal es conocido por tener el cerebro más grande en proporción a su cuerpo?,Delfín,Elefante,Pulpo,C
2,¿Cuál es el mineral más duro conocido por el hombre?,Cuarzo,Corindón,Diamante,C
2,¿Qué molécula es conocida como la 'molécula de la vida'?,ADN,ARN,Proteína,A
2,¿Qué animal es conocido por poder vivir más de 200 años?,Tortuga,Ballena,Tiburón de Groenlandia,C
2,¿Cuál es el único continente que no tiene desiertos?,Europa,Asia,América del Norte,A
2,¿Qué país tiene el sistema de canales más extenso del mundo?,Países Bajos,China,Estados Unidos,A
2,¿Qué proteína es responsable de la contracción muscular en los humanos?,Actina,Miosina,Colágeno,B
3,¿Cuál de estos no es un planeta enano?,Plutón,Ceres,Europa,C
3,¿Qué no es una técnica de datación utilizada en arqueología?,Radiocarbono,Termoluminiscencia,Difracción de rayos X,C
3,¿Cuál no es un tipo de roca ígnea?,Basalto,Granito,Pizarra,C
3,¿Qué no es una función del sistema nervioso parasimpático?,Reducir la frecuencia cardíaca,Aumentar la digestión,Aumentar la secreción de adrenalina,C
3,¿Qué no es una causa de cambio climático?,Emisión de gases de efecto invernadero,Actividad volcánica,Agujeros en la capa de ozono,C
3,¿Cuál no es un isótopo del carbono?,Carbono-12,Carbono-14,Carbono-16,C
3,¿Qué no es un tipo de neurona?,Sensorial,Motor,Glial,C
3,¿Qué no es un arte marcial tradicional japonesa?,Karate,Jiu-Jitsu,Kung Fu,C
3,¿Cuál de estas no es una teoría de la física moderna?,Teoría de cuerdas,Teoría cuántica de campos,Teoría del éter luminífero,C
3,¿Cuál no es una característica de los números primos?,Son divisibles solo por 1 y por sí mismos,El número 1 es primo,No tienen divisores exactos además de 1 y ellos mismos,B
